Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Caleb Martin,PHI,MIL,L,37.45,5,10,0.5,0,1,0.0,2,2,1.0,4,5,9,3,0,1,3,4,12,9.5,2024-10-23
Kelly Oubre,PHI,MIL,L,30.42,8,18,0.444,1,6,0.167,4,6,0.667,1,1,2,1,0,0,1,5,21,9.5,2024-10-23
Immanuel Quickley,TOR,CLE,L,14.23,4,9,0.444,2,4,0.5,3,4,0.75,0,2,2,4,1,0,2,2,13,9.5,2024-10-23
Jerami Grant,POR,GSW,L,33.17,6,18,0.333,2,8,0.25,2,2,1.0,0,2,2,3,1,1,0,2,16,9.4,2024-10-23
Jordan Hawkins,NOP,CHI,W,27.9,4,9,0.444,3,6,0.5,2,2,1.0,0,7,7,1,0,1,2,1,13,9.4,2024-10-23
Deandre Ayton,POR,GSW,L,30.95,5,12,0.417,0,2,0.0,0,0,0.0,2,9,11,2,2,0,1,2,10,9.3,2024-10-23
Nikola JoviÄ,MIA,ORL,L,24.02,7,14,0.5,1,7,0.143,0,1,0.0,1,4,5,1,1,1,1,4,15,9.3,2024-10-23
Andre Drummond,PHI,MIL,L,25.05,4,8,0.5,0,1,0.0,2,2,1.0,5,8,13,0,0,0,1,5,10,8.9,2024-10-23
Scotty Pippen ,MEM,UTA,W,21.82,3,6,0.5,0,2,0.0,0,2,0.0,1,2,3,7,3,1,2,3,6,8.9,2024-10-23
Draymond Green,GSW,POR,W,20.43,3,3,1.0,1,1,1.0,1,2,0.5,0,6,6,3,1,2,3,3,8,8.8,2024-10-23
Haywood Highsmith,MIA,ORL,L,30.23,4,8,0.5,1,2,0.5,0,0,0.0,1,4,5,2,2,1,1,3,9,8.8,2024-10-23
Fred VanVleet,HOU,CHO,L,37.38,4,18,0.222,2,11,0.182,4,4,1.0,2,2,4,6,2,0,2,1,14,8.8,2024-10-23
De'Andre Hunter,ATL,BRK,W,25.78,3,10,0.3,2,4,0.5,4,5,0.8,1,5,6,1,2,0,0,5,12,8.7,2024-10-23
Brook Lopez,MIL,PHI,W,35.53,3,11,0.273,1,6,0.167,3,4,0.75,1,7,8,6,0,6,4,4,10,8.7,2024-10-23
De'Anthony Melton,GSW,POR,W,19.1,4,11,0.364,2,8,0.25,1,2,0.5,0,2,2,4,3,0,1,3,11,8.7,2024-10-23
Thomas Bryant,MIA,ORL,L,16.02,2,2,1.0,1,1,1.0,2,2,1.0,0,3,3,2,0,1,1,0,7,8.4,2024-10-23
Jaime Jaquez,MIA,ORL,L,19.18,4,9,0.444,2,2,1.0,3,5,0.6,2,3,5,3,0,0,2,4,13,8.3,2024-10-23
Jamal Shead,TOR,CLE,L,18.72,3,7,0.429,1,4,0.25,3,3,1.0,0,1,1,4,1,1,2,2,10,8.3,2024-10-23
Cody Martin,CHO,HOU,W,23.52,2,6,0.333,1,4,0.25,3,4,0.75,3,5,8,1,0,1,0,3,8,8.0,2024-10-23
Georges Niang,CLE,TOR,W,18.55,4,5,0.8,3,4,0.75,0,0,0.0,0,1,1,0,0,0,1,1,11,8.0,2024-10-23
Jusuf NurkiÄ,PHO,LAC,W,22.32,2,5,0.4,1,4,0.25,6,8,0.75,0,9,9,2,2,0,4,4,11,8.0,2024-10-23
Bam Adebayo,MIA,ORL,L,25.52,1,5,0.2,0,2,0.0,7,10,0.7,3,2,5,1,0,0,0,1,9,7.7,2024-10-23
Josh Giddey,CHI,NOP,L,30.48,5,11,0.455,0,1,0.0,4,7,0.571,1,4,5,3,0,0,3,1,14,7.7,2024-10-23
Clint Capela,ATL,BRK,W,19.52,3,5,0.6,0,0,0.0,0,0,0.0,1,6,7,1,1,1,1,0,6,7.6,2024-10-23
Mason Plumlee,PHO,LAC,W,14.22,2,2,1.0,0,0,0.0,4,6,0.667,1,1,2,1,0,1,1,1,8,7.6,2024-10-23
Amen Thompson,HOU,CHO,L,21.83,5,11,0.455,1,2,0.5,2,4,0.5,1,3,4,0,0,1,0,3,13,7.6,2024-10-23
Ochai Agbaji,TOR,CLE,L,25.25,1,1,1.0,0,0,0.0,1,2,0.5,4,2,6,1,1,1,0,2,3,7.3,2024-10-23
Kyle Anderson,GSW,POR,W,14.85,1,2,0.5,0,1,0.0,0,0,0.0,3,2,5,3,2,1,1,1,2,7.1,2024-10-23
Aaron Nesmith,IND,DET,W,18.75,2,4,0.5,1,2,0.5,2,2,1.0,1,1,2,0,2,1,0,4,7,7.1,2024-10-23
Kris Dunn,LAC,PHO,L,20.25,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,2,0,1,1,5,7.0,2024-10-23
Jalen Johnson,ATL,BRK,W,36.85,4,9,0.444,0,3,0.0,3,8,0.375,1,9,10,4,3,1,6,3,11,7.0,2024-10-23
Noah Clowney,BRK,ATL,L,14.6,2,6,0.333,1,3,0.333,2,2,1.0,3,3,6,0,1,1,1,1,7,6.9,2024-10-23
Pat Connaughton,MIL,PHI,W,20.9,4,9,0.444,1,5,0.2,0,0,0.0,1,3,4,1,0,1,0,1,9,6.9,2024-10-23
Andrew Nembhard,IND,DET,W,34.82,3,8,0.375,0,2,0.0,2,2,1.0,0,2,2,7,1,0,2,3,8,6.9,2024-10-23
Guerschon Yabusele,PHI,MIL,L,25.52,4,8,0.5,1,4,0.25,1,3,0.333,2,2,4,3,3,0,3,6,10,6.9,2024-10-23
Moritz Wagner,ORL,MIA,W,16.03,2,4,0.5,1,3,0.333,2,2,1.0,1,5,6,2,0,0,1,2,7,6.8,2024-10-23
Gary Trent,MIL,PHI,W,34.45,3,6,0.5,2,5,0.4,3,3,1.0,0,2,2,0,0,0,0,5,11,6.6,2024-10-23
Dean Wade,CLE,TOR,W,19.7,2,5,0.4,1,3,0.333,0,0,0.0,1,7,8,1,2,0,0,3,5,6.6,2024-10-23
Lindy Waters,GSW,POR,W,5.12,3,3,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,2,8,6.6,2024-10-23
John Konchar,MEM,UTA,W,15.23,1,1,1.0,1,1,1.0,2,2,1.0,1,4,5,1,0,0,0,2,5,6.5,2024-10-23
Terance Mann,LAC,PHO,L,27.1,4,6,0.667,0,1,0.0,0,3,0.0,1,4,5,4,1,0,1,6,8,6.5,2024-10-23
Coby White,CHI,NOP,L,34.78,4,13,0.308,0,5,0.0,2,2,1.0,0,8,8,6,1,1,4,1,10,6.4,2024-10-23
Malik Beasley,DET,IND,L,27.83,5,13,0.385,2,6,0.333,2,3,0.667,0,3,3,1,0,0,1,2,14,6.3,2024-10-23
Jeremiah Robinson-Earl,NOP,CHI,W,6.72,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,1,6,6.3,2024-10-23
Grayson Allen,PHO,LAC,W,21.38,2,7,0.286,2,6,0.333,2,2,1.0,0,1,1,3,1,1,1,2,8,6.2,2024-10-23
Nic Claxton,BRK,ATL,L,15.42,3,4,0.75,0,0,0.0,1,4,0.25,0,5,5,0,1,1,0,3,7,6.2,2024-10-23
Jock Landale,HOU,CHO,L,10.47,2,4,0.5,1,1,1.0,0,0,0.0,3,0,3,2,0,0,0,1,5,6.1,2024-10-23
Anfernee Simons,POR,GSW,L,32.62,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,6.1,2024-10-23
Jabari Smith,HOU,CHO,L,33.13,2,7,0.286,2,5,0.4,2,3,0.667,1,4,5,1,0,1,0,2,8,6.0,2024-10-23
Ayo Dosunmu,CHI,NOP,L,24.97,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,5.9,2024-10-23
Dorian Finney-Smith,BRK,ATL,L,29.55,3,10,0.3,2,7,0.286,0,0,0.0,3,5,8,1,1,2,1,5,8,5.9,2024-10-23
Nick Richards,CHO,HOU,W,23.92,3,4,0.75,0,0,0.0,0,2,0.0,2,6,8,1,0,2,1,5,6,5.9,2024-10-23
Rayan Rupert,POR,GSW,L,16.95,3,4,0.75,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,2,6,5.9,2024-10-23
Ziaire Williams,BRK,ATL,L,15.85,3,6,0.5,2,3,0.667,1,2,0.5,1,2,3,1,0,0,1,2,9,5.8,2024-10-23
Miles Bridges,CHO,HOU,W,32.28,5,11,0.455,0,3,0.0,0,0,0.0,0,9,9,2,1,1,4,1,10,5.7,2024-10-23
Jamison Battle,TOR,CLE,L,16.37,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,6,5.6,2024-10-23
Jonathan Mogbo,TOR,CLE,L,11.22,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,0,1,0,0,1,7,5.6,2024-10-23
Tobias Harris,DET,IND,L,35.78,6,13,0.462,1,6,0.167,0,0,0.0,1,1,2,1,0,1,2,3,13,5.5,2024-10-23
Brandon Miller,CHO,HOU,W,10.73,2,4,0.5,1,2,0.5,1,1,1.0,1,0,1,1,1,0,1,0,6,5.4,2024-10-23
Grant Williams,CHO,HOU,W,24.82,3,6,0.5,2,4,0.5,0,0,0.0,1,3,4,1,1,1,2,4,8,5.4,2024-10-23
Marcus Smart,MEM,UTA,W,26.03,3,11,0.273,1,6,0.167,4,4,1.0,3,2,5,1,1,0,2,4,11,5.3,2024-10-23
Ben Simmons,BRK,ATL,L,24.2,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,8,0,1,6,5,6,5.0,2024-10-23
Ricky Council,PHI,MIL,L,9.0,1,2,0.5,1,1,1.0,4,4,1.0,0,1,1,0,0,0,1,1,7,4.9,2024-10-23
Kai Jones,LAC,PHO,L,13.0,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,4.9,2024-10-23
Bogdan BogdanoviÄ,ATL,BRK,W,27.83,2,6,0.333,2,6,0.333,2,2,1.0,0,2,2,2,0,2,2,3,8,4.8,2024-10-23
